등록번호,청구기호,서명,저자,발행자,발행년,가격
BRP000452700,325.581-바228ㅁ,무엇을 놓친 걸까 : 사람 심리에만 집착하고 뇌과학 따위는 무시할 때 마케팅이 놓치는 것들,필 바든 지음 ; 이현주 옮김,사이,2020,"18,500"
BRP000452701,370.13-이49ㅁ=2,미래학교 : EBS 다큐프라임,"EBS 다큐프라임 [미래학교] 제작진 ; 정현숙 ; 백연아,송현숙 지음",Green House:그린하우스,2019,"15,000"
BRP000452702,331.43-김77ㅂ,바닷마을 인문학,김준 지음,따비,2020,"17,000"
BRP000452703,320-해78ㅂ,보이는 경제학 안 보이는 경제학,헨리 해즐릿 지음 ; 김동균 옮김,DKJS(디케이제이에스),2020,"16,000"
BRP000452704,327.856-불15,(23종목의 실전 매매 기록으로 꼼꼼히 짚어주는)불곰의 가치투자 따라 하기,"불곰,박종관관 ; 박선목목 ; 김지훈 지음",페이지2북스,2020,"18,000"
BRP000452705,338.3-천71ㅅ,사랑을 말할 때 우리가 꺼내지 않았던 이야기들 : 장애인의 성과 사랑 이야기,천자오루 지음 ; 강영희 옮김,사계절,2020,"17,000"
BRP000452706,372-새235,"새로운학교, 학생을 날게 하다 : 새로운 학교를 만드는 10가지 교육 원리",새로운학교네트워크 엮음,살림터,2020,"20,000"
BRP000452707,360-김66ㅅ3,(당하기 전에 꼭 알아야 할) 생활법률 상식사전,김용국 지음,위즈덤하우스:위즈덤하우스 미디어그룹,2020,"19,800"
BRP000452708,926-최64ㅅ,"샴페인에서 바게트, 빅토르 위고에서 사르트르. : 어원으로 풀어본 프랑스 문화",최연구 지음,살림출판사,2020,"18,000"
BRP000452709,325.1-멀233ㅅ,"성과지표의 배신 : 성과급에서 대학평가까지, 측정 강박은 우리의 조직과 사회를 어떻게 위협하는가",제리 멀러 지음 ; 김윤경 옮김,궁리,2020,"17,000"
BRP000452710,332.6-조17ㅅ,세습 중산층 사회 : 90년대생이 경험하는 불평등은 어떻게 다른가,조귀동 지음,생각의힘,2020,"17,000"
BRP000452711,335.9-정17ㅅ,소비가 직업이다 : 프로슈머의 시대는 어떻게 오고 있는가,정균승 지음,프롬북스,2020,"14,800"
BRP000452712,325.581-이51ㅅ,소셜임팩트=Social impact : 다음 10년을 결정하는 평판의 힘,"이상일,최승범,박창수 지음",한국경제신문:한경BP,2020,"16,000"
BRP000452713,410.7-김53ㅅ,수포자의 시대 : 왜 수포자를 포기하는가?,"김성수,이형빈 지음",살림터,2019,"15,000"
BRP000452714,199.1-마58ㅅ=2,스님의 산뜻한 인간관계 정돈법 : 일상이 버거울 때,마스노 슌묘 지음 ; 장은주 옮김,나무생각,2019,"12,800"
BRP000452715,325.1-이72ㅅ,"스프린트=Sprint : 변화의 시대, 최고의 전력질주 학습법!",이재훈 지음,BMK(비엠케이),2020,"19,800"
BRP000452716,325.211-이43ㅅ,(매번 시작만 하는 사람들을 위한) 습관의 완성,이범용 지음,스마트북스,2020,"14,800"
BRP000452717,331-하58ㅅ,시민불복종 쫌 아는 10대 : 부당함에 맞서는 삐따기들의 행진,하승우 글 ; 방상호 그림,풀빛,2019,"13,000"
BRP000452718,340.99-심51ㅅ,심상정 길 : 국회의원 심상정 사진·연설문집,심상정 [지음],팝콘앤파트너스,2020,"18,000"
BRP000452719,375.1-김53ㅇ,"아이의 미래를 바꾸는 1년, 초등 입학 이렇게 준비해요. 빠른 학교 적응을 위한 현직 교사의 입학 안내서",김성원 지음,책숲,2020,"13,000"
BRP000452720,340.4-안813ㅇ,"안철수, 우리의 생각이 미래를 만든다 : 유럽에서 찾은 공정하고 행복한 나라의 조건",안철수 지음,21세기북스,2020,"17,800"
BRP000452722,337-쿠63ㅇ,"엄마, 나는 페미니스트가 되고 싶어",카르멘 G. 데 라 쿠에바 지음 ; 말로타 그림 ; 최이슬기 옮김,을유문화사,2020,"13,800"
BRP000452723,326.79-박94ㅇ,엄마는 오늘도 유튜브로 출근한다 : 엄마라서 가능했던 소사장소피아의 유튜브 도전기,박혜정 지음,이봄,2020,"15,000"
BRP000452725,325.14-야17ㅇ,오늘부터 내가 결정합니다 : 프로 결정러가 되기 위한 41가지 핵 팁,야규 다케토모 지음 ; 김윤경 옮김,구층책방:동아출판,2020,"13,800"
BRP000452726,199.1-혼52ㅇ,"오늘부터 딱 1년, 이기적으로 살기로 했다 : 1년 열두 달 온전히 나로 살며 깨달은 것들",샘 혼 지음 ; 이상원 옮김,비즈니스북스,2020,"15,000"
BRP000452727,181.7-콘52ㅇ,왜 반대편을 증오하는가 : 인간은 왜 질투하고 혐오하는가,샐리 콘 지음 ; 장선하 옮김,에포케,2020,"14,800"
BRP000452728,338.181-토239ㅇ,왜 우리에겐 기본소득이 필요한가 : 삶을 일보다 중요하게 만드는 무조건적 소득의 가치와 실현가능성과 시행에 대하여,말콤 토리 지음 ; 이영래 옮김,생각이음,2020,"18,500"
